"name","id"
Adolfo Alsina,60007
Adolfo Gonzales Chaves,60014
Alberti,60021
Almirante Brown,60028
Avellaneda,60035
Ayacucho,60042
Azul,60049
Bahía Blanca,60056
Balcarce,60063
Baradero,60070
Arrecifes,60077
Benito Juárez,60084
Berazategui,60091
Berisso,60098
Bolívar,60105
Bragado,60112
Brandsen,60119
Campana,60126
Cañuelas,60134
Capitán Sarmiento,60140
Carlos Casares,60147
Carlos Tejedor,60154
Carmen de Areco,60161
Castelli,60168
Colón,60175
Coronel de Marina Leonardo Rosales,60182
Coronel Dorrego,60189
Coronel Pringles,60196
Coronel Suárez,60203
Chacabuco,60210
Chascomús,60218
Chivilcoy,60224
Daireaux,60231
Dolores,60238
Ensenada,60245
Escobar,60252
Esteban Echeverría,60260
Exaltación de la Cruz,60266
Ezeiza,60270
Florencio Varela,60274
Florentino Ameghino,60277
General Alvarado,60280
General Alvear,60287
General Arenales,60294
General Belgrano,60301
General Guido,60308
General Juan Madariaga,60315
General la Madrid,60322
General las Heras,60329
General Lavalle,60336
General Paz,60343
General Pinto,60351
General Pueyrredón,60357
General Rodríguez,60364
General San Martín,60371
General Viamonte,60385
General Villegas,60392
Guaminí,60399
Hipólito Yrigoyen,60406
Hurlingham,60408
Ituzaingó,60410
José C. Paz,60412
Junín,60413
La Costa,60420
La Matanza,60427
Lanús,60434
La Plata,60441
Laprida,60448
Las Flores,60455
Leandro N. Alem,60462
Lezama,60466
Lincoln,60469
Lobería,60476
Lobos,60483
Lomas de Zamora,60490
Luján,60497
Magdalena,60505
Maipú,60511
Malvinas Argentinas,60515
Mar Chiquita,60518
Marcos Paz,60525
Mercedes,60532
Merlo,60539
Monte,60547
Monte Hermoso,60553
Moreno,60560
Morón,60568
Navarro,60574
Necochea,60581
"9 de Julio",60588
Olavarría,60595
Patagones,60602
Pehuajó,60609
Pellegrini,60616
Pergamino,60623
Pila,60630
Pilar,60638
Pinamar,60644
Presidente Perón,60648
Puán,60651
Punta Indio,60655
Quilmes,60658
Ramallo,60665
Rauch,60672
Rivadavia,60679
Rojas,60686
Roque Pérez,60693
Saavedra,60700
Saladillo,60707
Salto,60714
Salliqueló,60721
San Andrés de Giles,60728
San Antonio de Areco,60735
San Cayetano,60742
San Fernando,60749
San Isidro,60756
San Miguel,60760
San Nicolás,60763
San Pedro,60770
San Vicente,60778
Suipacha,60784
Tandil,60791
Tapalqué,60798
Tigre,60805
Tordillo,60812
Tornquist,60819
Trenque Lauquen,60826
Tres Arroyos,60833
Tres de Febrero,60840
Tres Lomas,60847
"25 de Mayo",60854
Vicente López,60861
Villa Gesell,60868
Villarino,60875
Zárate,60882
El Rodeo,100007
La Puerta,100014
Las Juntas,100021
Los Varela,100028
Ancasti,100035
Aconquija,100042
Andalgalá,100049
Antofagasta de la Sierra,100056
Belén,100063
Corral Quemado,100070
Hualfín,100077
Londres,100084
Pozo de Piedra,100091
Puerta de Corral Quemado,100098
Puerta de San José,100105
Villa Vil,100119
Capayán,100126
Huillapima,100133
San Fernando del Valle de Catamarca,100140
El Alto,100147
Tapso,100154
Fray Mamerto Esquiú,100161
Icaño,100168
Recreo,100175
Paclín,100182
Mutquín,100185
Pomán,100189
Saujil,100196
San José,100203
Santa María,100210
Los Altos,100213
Santa Rosa,100217
Fiambalá,100224
Tinogasta,100231
Valle Viejo,100238
Embalse,140007
La Cruz,140014
Los Cóndores,140021
Río de los Sauces,140028
Santa Rosa de Calamuchita,140035
Villa del Dique,140042
Villa General Belgrano,140049
San Agustín,140056
Villa Rumipal,140063
Villa Yacanto,140070
Córdoba,140077
Agua de Oro,140084
Colonia Caroya,140091
Colonia Tirolesa,140098
Estación Juárez Celman,140105
Jesús María,140112
La Calera,140119
La Granja,140126
Malvinas Argentinas,140133
